date,produit,niche,source,score_sur_25,cpa_max_eur,budget_depense_eur,ventes,cpa_reel_eur,ctr_pct,cvr_pct,statut,lecon
2026-07-20,Gourde en cuivre (ref mytamra.com),bien-etre,TrendTrack MCP,23,15.00,0,0,,,,candidat,fiche produits/2026-07-gourde-cuivre.md - sourcing a faire
2026-07-20,Surlunettes polarisees (ref morleni.com),optique/seniors,TrendTrack MCP,23,15.00,0,0,,,,candidat,fiche produits/2026-07-surlunettes-polarisees.md - saisonnier ete: tester vite
2026-07-20,Poele 100% titane (ref titanoxfrance.com),cuisine/sante,TrendTrack MCP,20,12.00,0,0,,,,candidat,fiche produits/2026-07-poele-titane.md - marge a valider avant tout test
2026-07-20,Gaine post-partum (ref bengka.fr),maman/post-partum,TrendTrack MCP,19,,,,,,,ecarte-provisoire,momentum plus faible que le top 3 - a re-evaluer si un test echoue
2026-07-20,Oreiller cervical (ref somnilys.com),sommeil/sante,TrendTrack MCP,18,,,,,,,ecarte,categorie saturee - garde comme preuve que le marche FR paie 100e+ en sommeil
2026-07-20,Duo confort chien: coussin apaisant + tapis rafraichissant (ref mrfluffyfriend.fr),animaux/chien,Pipeline TrendTrack complet (heatmap+clusters+audit saturation),24,12.00,0,0,,,,plan-B-valide,fiche produits/2026-07-duo-confort-chien.md - audit OK (1 seul annonceur FR) - active si devis complements decoivent
2026-07-20,Complements chien anti-demangeaisons (ref woofilab.com besti.fr),animaux/chien,Pipeline TrendTrack complet,,,,,,,,PRIORITE-1,choix fondateur - strategie docs/06 - devis en cours (Floralpina/Fulfillment Nutra/Lustrel/Clinivet) - viser marque blanche avec expedition directe
2026-07-20,Jouets/fontaine chat premium (ref pourtoimonchat.com),animaux/chat,Pipeline TrendTrack complet,,,,,,,,ecarte,audit saturation: TENDU - Feliway 130 ads + Chatinou entrant agressif 69 ads
2026-07-20,Balle chien indestructible (ref plattypaws.com),animaux/chien,Dossier final: balayage 148 boutiques + audit saturation,24,15.00,0,0,,,,N1-A-TESTER,fiche produits/2026-07-balle-chien-indestructible.md - audit OUVERT: 0 annonceur FR dedie - synergie boutique chien avec duo confort
2026-07-20,Canne aide au lever seniors (ref astuvita.com),seniors/autonomie,Dossier final,23,13.00,0,0,,,,N2-A-TESTER,fiche produits/2026-07-canne-aide-lever.md - audit OUVERT: seul Bastide (retail) en face - audience FB ideale
2026-07-20,Sac a pain cire abeille (ref maison-de-louise.com),cuisine/zero-dechet,Dossier final,,11.00,,,,,,N3-FENETRE-COURTE,OUVERT en FR (1 copycat) mais vague mondiale lancee (9/12 similaires) - GO/NO-GO sous 2 semaines
2026-07-20,Faux cils magnetiques (ref zorevya.com),beaute/accessoire,Dossier final,,,,,,,,backup,OUVERT FR mais categorie mondiale mature (Lolas Lashes 458 ads GB) - exige niveau crea beaute
2026-07-20,Oreiller voyage (ref nomadike.com),voyage,Dossier final,,,,,,,,ecarte,audit TENDU: FlyHugz 982 ads + Soya Paris 509 sur FR
2026-07-20,Wallet tracker (ref maisoncorval.com),edc/maroquinerie,Dossier final,,,,,,,,ecarte,audit TENDU+: Spotminders 1386 ads concept exact + majors EU
2026-07-20,Escalade Montessori (ref goodevas.fr),enfant,Dossier final,,,,,,,,ecarte-non-fit,OUVERT mais volumineux + normes EN71 + panier 105-189e = pas un test 150e
